Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7zVZF0OgDJkFJohnlKwEpa,"Amos Moses","Georgia Sunshine","Jerry Reed",1970-12-01,139226,56,false,,2025-06-02T11:43:38Z,"classic country,outlaw country,country","RCA Records Label",0.738,0.723,2,-10.356,1,0.0728,0.4,0.00134,0.0166,0.95,105.541,4
spotify:track:6JY1IdkZGeIcPegKxjSKeb,"Since U Been Gone","Breakaway","Kelly Clarkson",2004,188960,75,false,,2025-05-26T08:49:48Z,"christmas","RCA Records Label",0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,4
spotify:track:3WALaE7UdNXx8VJ4lpWCK8,"Hide Away","Sit Still Look Pretty","Daya",2016-10-07,191368,72,false,,2025-05-26T08:49:38Z,"","Artbeatz - Daya",0.884,0.826,11,-3.672,0,0.0853,0.222,0.00000229,0.0651,0.465,94.997,4
spotify:track:1GeNui6m825V8jP4uKiIaH,"Bad Bad Bad (feat. Lil Baby)","So Much Fun","Young Thug,Lil Baby",2019-08-16,149040,80,true,,2025-05-26T08:49:26Z,"rap,melodic rap,trap","300 Entertainment/Atl",0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,4
spotify:track:0FIDCNYYjNvPVimz5icugS,"Timeless (feat Playboi Carti)","Hurry Up Tomorrow","The Weeknd,Playboi Carti",2025-01-31,256000,91,true,,2025-05-26T08:49:09Z,"rage rap","XO / Republic Records",0.768,0.775,11,-5.06,0,0.0466,0.069,0.00000296,0.138,0.6,119.999,4
spotify:track:6KBc9W1riUD5zXv29eIVop,"не расслабляйся","не расслабляйся","Skryptonite",2024-11-08,164309,73,true,,2025-05-25T17:29:17Z,"","Skryptonite",0.764,0.584,1,-7.43,1,0.0356,0.00125,0,0.304,0.0569,129.97,4
spotify:track:6gi6y1xwmVszDWkUqab1qw,"OUT WEST (feat. Young Thug)","JACKBOYS","JACKBOYS,Travis Scott,Young Thug",2019-12-27,157712,76,true,,2025-05-25T17:29:07Z,"rap,melodic rap,trap","Cactus Jack/Epic",0.802,0.591,8,-4.895,1,0.225,0.0104,0,0.196,0.309,139.864,4
spotify:track:19JoqD0UEmqnQ0ynmCAQwp,"Bad (feat. Tiara Thomas)","The Gifted","Wale,Tiara Thomas",2013-06-25,255693,61,true,,2025-05-25T16:17:01Z,"","MMG/Atlantic",0.867,0.638,6,-6.657,0,0.0643,0.015,0,0.157,0.28,113.969,4
spotify:track:6kx16R0LMAyoXDvGqddZFy,"LoveHate Thing (feat. Sam Dew)","The Gifted","Wale,Sam Dew",2013-06-25,267400,71,true,,2025-05-24T11:02:09Z,"","MMG/Atlantic",0.736,0.691,8,-6.118,1,0.169,0.0771,0,0.0422,0.18,99.954,4
spotify:track:5lE2EFXt4muvLFMGQg4hZN,"Hypotheticals","Obviously","Lake Street Dive",2021-03-12,230178,66,false,,2025-05-23T15:16:13Z,"","Nonesuch",0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,4
spotify:track:1iH2i4gVU1jOT3PvpDBkVL,"Kick Up Rocks","Kick Up Rocks","Devin Lucas",2025-01-10,130162,37,true,,2025-05-22T07:05:41Z,"","Fresh Music Marketing",0.692,0.533,7,-8.21,1,0.0285,0.141,0.00000987,0.0843,0.591,121.992,4
spotify:track:0LEvSCPtE3g4g5fW6wD7IA,"You & I","You & I","Devin Lucas",2024-12-15,195019,37,false,,2025-05-22T06:53:32Z,"","Fresh Music Marketing",0.539,0.529,11,-10.747,1,0.0343,0.116,0.358,0.145,0.191,169.871,4
spotify:track:6Zrs6gUUaSkM1Z7d0FxOlF,"Present","Lens Flare","Lloyd Vaan",2021-10-29,146000,73,false,,2025-05-21T17:41:23Z,"","Lloyd Vaan under exclusive license to Amuseio AB",0.227,0.00268,3,-27.348,1,0.06,0.951,0.912,0.109,0.228,64.26,4
spotify:track:16NOb9gJif3B5qGOR3Az6N,"Garden Dreams","Garden Dreams","Narco Debut",2016-09-09,265266,23,false,,2025-05-07T17:09:57Z,"post-hardcore,math rock","Narco Debut",0.366,0.601,11,-7.666,0,0.0322,0.0176,0.0392,0.336,0.194,153.476,4
spotify:track:3pqzfSjmiP4bxux3q0ngrU,"90210 - Sped Up","90210 (Sped Up)","junz",2017,127331,58,false,,2025-05-02T19:08:08Z,"","junz",0.832,0.462,0,-11.003,1,0.0808,0.0577,0.0000169,0.0854,0.662,105.783,4
spotify:track:4Cv6ongCvJy9JfSkWVnb5D,"Get Down On It","Something Special","Kool & The Gang",1981,293666,69,false,,2025-04-23T20:26:03Z,"disco,funk","Island Def Jam",0.847,0.389,9,-15.362,0,0.0569,0.0753,0.000012,0.0471,0.968,111.52,4
spotify:track:2g43X9SyvLvxDGfHg1hFsa,"Circadian Deity","Garden Dreams","Narco Debut",2016-09-09,246853,31,false,,2025-04-21T21:30:42Z,"post-hardcore,math rock","Narco Debut",0.326,0.737,9,-5.447,1,0.0358,0.00242,0.0414,0.2,0.218,126.976,4
spotify:track:0pQynoxBL4AvYyt67pZ74x,"Deep Cover","Rap RnB","Dr. Dre,Snoop",2000-12-06,226000,52,false,,2025-04-20T15:52:46Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap","Da Rbg",0.827,0.683,6,-5.985,1,0.18,0.0449,0.00000104,0.179,0.376,95.024,4
spotify:track:5qII2n90lVdPDcgXEEVHNy,"Sunday Morning","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,244880,79,false,,2025-04-19T16:35:18Z,"pop","Interscope Records*",0.608,0.768,0,-5.227,1,0.0475,0.0913,0,0.0629,0.809,88.059,4
spotify:track:4NFD9ea0uH0MtoC30yNYE1,"West Coast Love","The Juice: Vol. II","Emotional Oranges",2019-11-08,215386,67,false,,2025-04-19T13:48:16Z,"indie r&b","Avant Garden PS",0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,4
spotify:track:7nnWIPM5hwE3DaUBkvOIpy,"Drive","Make Yourself","Incubus",1999-10-26,232453,78,false,,2025-04-19T13:42:14Z,"nu metal,funk rock,alternative metal,alternative rock","Epic/Immortal",0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,4
spotify:track:6NTaVtuwpuEIPd9kSinopa,"FeelFly","FeelFly","Dayshell",2018-06-15,250781,33,false,,2025-04-19T13:35:02Z,"post-hardcore,metalcore","Unsigned",0.554,0.811,6,-6.202,0,0.0244,0.000503,0.00342,0.174,0.609,101.011,4
spotify:track:41sGGCCoHI2GLV9qadX80A,"Baby Come Back","Player","Player",1977-09-01,255845,77,false,,2025-04-19T13:13:35Z,"yacht rock","UMC (Universal Music Catalogue)",0.646,0.602,5,-10.238,0,0.0758,0.0599,0.000017,0.0956,0.543,156.101,4
spotify:track:5K8hsK21BinXBIqrSeEC2L,"It's Raining on the Moon Pt. 1","StarSystems III","StarSystems",2016-08-01,256026,33,false,,2025-04-19T12:53:53Z,"djent,progressive metal,math rock","Joseph Stevenson",0.539,0.612,2,-10.654,0,0.0433,0.472,0.809,0.101,0.0541,170,4
